section_size,eccentricity,length,DCR,median,log_standard_deviation
W33X291,0.0,1,0.15,-,-
W33X291,0.0,1,0.05,-,-
W36X256,0.0,1,0.95,894.2077651043055,0.4971641260052471
W36X256,0.0,1,0.85,2404.5624198085607,0.33175475075993216
W36X256,0.0,1,0.75,3363.932347928724,0.2629091841133783
W36X256,0.0,1,0.5,-,-
W36X256,0.0,1,0.25,-,-
W36X256,0.0,1,0.15,-,-
W36X256,0.0,1,0.05,-,-
W30X326,0.0,1,0.95,1091.2232683622556,0.4396390717242863
W30X326,0.0,1,0.85,2623.0784023621936,0.2870556200689189
W30X326,0.0,1,0.75,2122.6881471866104,0.0257621397232197
W30X326,0.0,1,0.5,-,-
W30X326,0.0,1,0.25,-,-
W30X326,0.0,1,0.15,-,-
W30X326,0.0,1,0.05,-,-
W36X247,0.0,1,0.95,648.3395148622201,0.5699992364103527
W36X247,0.0,1,0.85,2047.4796505832217,0.34991492018170467
W36X247,0.0,1,0.75,2696.3139738002587,0.2567322983094026
W36X247,0.0,1,0.5,-,-
W36X247,0.0,1,0.25,-,-
W36X247,0.0,1,0.15,-,-
W36X247,0.0,1,0.05,-,-
W27X368,0.0,1,0.95,1338.475898652488,0.4022457537026285
W27X368,0.0,1,0.85,2655.9025792850985,0.20452115845975616
W27X368,0.0,1,0.75,-,-
W27X368,0.0,1,0.5,-,-
W27X368,0.0,1,0.25,-,-
W27X368,0.0,1,0.15,-,-
W27X368,0.0,1,0.05,-,-
W33X263,0.0,1,0.95,772.4773747781959,0.5258980825388402
W33X263,0.0,1,0.85,2304.6168863499483,0.3738301060962043
W33X263,0.0,1,0.75,2570.3770753277627,0.18214424671300483
W33X263,0.0,1,0.5,-,-
W33X263,0.0,1,0.25,-,-
W33X263,0.0,1,0.15,-,-
W33X263,0.0,1,0.05,-,-
W36X231,0.0,1,0.95,598.2998097439763,0.5828681183887839
W36X231,0.0,1,0.85,1933.9694364497157,0.360241314221263
W36X231,0.0,1,0.75,2714.737899957941,0.29738717766400585
W36X231,0.0,1,0.5,-,-
W36X231,0.0,1,0.25,-,-
W36X231,0.0,1,0.15,-,-
W36X231,0.0,1,0.05,-,-
W36X232,0.0,1,0.95,774.1349990512484,0.5247627038916264
W36X232,0.0,1,0.85,2304.6168860635566,0.37383010600414734
W36X232,0.0,1,0.75,2464.0148197798235,0.14854462588068187
W36X232,0.0,1,0.5,-,-
W36X232,0.0,1,0.25,-,-
W36X232,0.0,1,0.15,-,-
W36X232,0.0,1,0.05,-,-
W30X292,0.0,1,0.95,968.0307970846136,0.47341154611651587
W30X292,0.0,1,0.85,2467.4025265967844,0.30768891805193604
W30X292,0.0,1,0.75,2644.928007361155,0.13790517526207063
W30X292,0.0,1,0.5,-,-
W30X292,0.0,1,0.25,-,-
W30X292,0.0,1,0.15,-,-
W30X292,0.0,1,0.05,-,-
W27X336,0.0,1,0.95,1217.9314154005604,0.42363840225312055
W27X336,0.0,1,0.85,2696.3139738002587,0.2567322983094026
W27X336,0.0,1,0.75,-,-
W27X336,0.0,1,0.5,-,-
W27X336,0.0,1,0.25,-,-
W27X336,0.0,1,0.15,-,-
W27X336,0.0,1,0.05,-,-
W14X730,0.0,1,0.95,2467.5644982075623,0.34354109142906825
W14X730,0.0,1,0.85,-,-
