fire_load,W36X330_0.000_1_0.95,W36X330_0.000_1_0.85,W36X330_0.000_1_0.75,W36X330_0.000_1_0.50,W36X330_0.000_1_0.25,W36X330_0.000_1_0.15,W36X330_0.000_1_0.05
2000,0.9270833333333334,0.25,0.010416666666666666,0.0,0.0,0.0,0.0
1900,0.9166666666666666,0.1875,0.010416666666666666,0.0,0.0,0.0,0.0
1800,0.8958333333333334,0.14583333333333334,0.0,0.0,0.0,0.0,0.0
1700,0.8854166666666666,0.11458333333333333,0.0,0.0,0.0,0.0,0.0
1600,0.8645833333333334,0.09375,0.0,0.0,0.0,0.0,0.0
1500,0.8541666666666666,0.052083333333333336,0.0,0.0,0.0,0.0,0.0
1400,0.8229166666666666,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1300,0.7395833333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1200,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.6041666666666666,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.5,0.0,0.0,0.0,0.0,0.0,0.0
900,0.3854166666666667,0.0,0.0,0.0,0.0,0.0,0.0
800,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
700,0.25,0.0,0.0,0.0,0.0,0.0,0.0
600,0.1875,0.0,0.0,0.0,0.0,0.0,0.0
500,0.09375,0.0,0.0,0.0,0.0,0.0,0.0
400,0.07291666666666667,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
