fire_load,W14X730_0.000_1_0.95,W14X730_0.000_1_0.85,W14X730_0.000_1_0.75,W14X730_0.000_1_0.50,W14X730_0.000_1_0.25,W14X730_0.000_1_0.15,W14X730_0.000_1_0.05
2000,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1900,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
1700,0.14583333333333334,0.0,0.0,0.0,0.0,0.0,0.0
1600,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
