fire_load,W36X395_0.000_1_0.95,W36X395_0.000_1_0.85,W36X395_0.000_1_0.75,W36X395_0.000_1_0.50,W36X395_0.000_1_0.25,W36X395_0.000_1_0.15,W36X395_0.000_1_0.05
2000,0.8854166666666666,0.125,0.0,0.0,0.0,0.0,0.0
1900,0.8645833333333334,0.10416666666666667,0.0,0.0,0.0,0.0,0.0
1800,0.8645833333333334,0.07291666666666667,0.0,0.0,0.0,0.0,0.0
1700,0.8229166666666666,0.03125,0.0,0.0,0.0,0.0,0.0
1600,0.78125,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1500,0.7291666666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
1400,0.65625,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.3958333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.3125,0.0,0.0,0.0,0.0,0.0,0.0
900,0.2604166666666667,0.0,0.0,0.0,0.0,0.0,0.0
800,0.21875,0.0,0.0,0.0,0.0,0.0,0.0
700,0.11458333333333333,0.0,0.0,0.0,0.0,0.0,0.0
600,0.07291666666666667,0.0,0.0,0.0,0.0,0.0,0.0
500,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
400,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
300,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
200,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
100,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
