fire_load,W14X342_0.000_1_0.95,W14X342_0.000_1_0.85,W14X342_0.000_1_0.75,W14X342_0.000_1_0.50,W14X342_0.000_1_0.25,W14X342_0.000_1_0.15,W14X342_0.000_1_0.05
2000,0.8645833333333334,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
1900,0.8229166666666666,0.052083333333333336,0.0,0.0,0.0,0.0,0.0
1800,0.78125,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1700,0.7395833333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1600,0.65625,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
1500,0.6041666666666666,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.53125,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.3541666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.3020833333333333,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.2604166666666667,0.0,0.0,0.0,0.0,0.0,0.0
900,0.19791666666666666,0.0,0.0,0.0,0.0,0.0,0.0
800,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0
700,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
600,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
500,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
400,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0
300,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0
200,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0
100,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0
