fire_load,W21X201_0.000_1_0.95,W21X201_0.000_1_0.85,W21X201_0.000_1_0.75,W21X201_0.000_1_0.50,W21X201_0.000_1_0.25,W21X201_0.000_1_0.15,W21X201_0.000_1_0.05
2000,0.9583333333333334,0.3229166666666667,0.07291666666666667,0.0,0.0,0.0,0.0
1900,0.9583333333333334,0.28125,0.020833333333333332,0.0,0.0,0.0,0.0
1800,0.9479166666666666,0.25,0.020833333333333332,0.0,0.0,0.0,0.0
1700,0.9270833333333334,0.1875,0.010416666666666666,0.0,0.0,0.0,0.0
1600,0.90625,0.14583333333333334,0.0,0.0,0.0,0.0,0.0
1500,0.8958333333333334,0.11458333333333333,0.0,0.0,0.0,0.0,0.0
1400,0.875,0.07291666666666667,0.0,0.0,0.0,0.0,0.0
1300,0.8645833333333334,0.03125,0.0,0.0,0.0,0.0,0.0
1200,0.8229166666666666,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1100,0.7395833333333334,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
1000,0.65625,0.0,0.0,0.0,0.0,0.0,0.0
900,0.5729166666666666,0.0,0.0,0.0,0.0,0.0,0.0
800,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0
700,0.3541666666666667,0.0,0.0,0.0,0.0,0.0,0.0
600,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0
500,0.22916666666666666,0.0,0.0,0.0,0.0,0.0,0.0
400,0.13541666666666666,0.0,0.0,0.0,0.0,0.0,0.0
300,0.125,0.0,0.0,0.0,0.0,0.0,0.0
200,0.125,0.0,0.0,0.0,0.0,0.0,0.0
100,0.125,0.0,0.0,0.0,0.0,0.0,0.0
