fire_load,W27X539_0.000_1_0.95,W27X539_0.000_1_0.85,W27X539_0.000_1_0.75,W27X539_0.000_1_0.50,W27X539_0.000_1_0.25,W27X539_0.000_1_0.15,W27X539_0.000_1_0.05
2000,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0
1900,0.4895833333333333,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.4375,0.0,0.0,0.0,0.0,0.0,0.0
1700,0.34375,0.0,0.0,0.0,0.0,0.0,0.0
1600,0.3229166666666667,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.2604166666666667,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.1875,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.07291666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
900,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
800,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
