fire_load,W36X247_0.000_1_0.95,W36X247_0.000_1_0.85,W36X247_0.000_1_0.75,W36X247_0.000_1_0.50,W36X247_0.000_1_0.25,W36X247_0.000_1_0.15,W36X247_0.000_1_0.05
2000,0.9791666666666666,0.4895833333333333,0.11458333333333333,0.0,0.0,0.0,0.0
1900,0.9791666666666666,0.40625,0.09375,0.0,0.0,0.0,0.0
1800,0.96875,0.34375,0.07291666666666667,0.0,0.0,0.0,0.0
1700,0.9583333333333334,0.28125,0.020833333333333332,0.0,0.0,0.0,0.0
1600,0.9583333333333334,0.25,0.020833333333333332,0.0,0.0,0.0,0.0
1500,0.9479166666666666,0.19791666666666666,0.010416666666666666,0.0,0.0,0.0,0.0
1400,0.9166666666666666,0.14583333333333334,0.0,0.0,0.0,0.0,0.0
1300,0.90625,0.11458333333333333,0.0,0.0,0.0,0.0,0.0
1200,0.875,0.052083333333333336,0.0,0.0,0.0,0.0,0.0
1100,0.8645833333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
1000,0.8020833333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
900,0.71875,0.0,0.0,0.0,0.0,0.0,0.0
800,0.6354166666666666,0.0,0.0,0.0,0.0,0.0,0.0
700,0.5,0.0,0.0,0.0,0.0,0.0,0.0
600,0.3854166666666667,0.0,0.0,0.0,0.0,0.0,0.0
500,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0
400,0.22916666666666666,0.0,0.0,0.0,0.0,0.0,0.0
300,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
200,0.15625,0.0,0.0,0.0,0.0,0.0,0.0
100,0.15625,0.0,0.0,0.0,0.0,0.0,0.0
