fire_load,W14X550_0.000_1_0.95,W14X550_0.000_1_0.85,W14X550_0.000_1_0.75,W14X550_0.000_1_0.50,W14X550_0.000_1_0.25,W14X550_0.000_1_0.15,W14X550_0.000_1_0.05
2000,0.46875,0.0,0.0,0.0,0.0,0.0,0.0
1900,0.3645833333333333,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1700,0.3020833333333333,0.0,0.0,0.0,0.0,0.0,0.0
1600,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.21875,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.15625,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.07291666666666667,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
900,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
