fire_load,W24X62_0.000_1_0.95,W24X62_0.000_1_0.85,W24X62_0.000_1_0.75,W24X62_0.000_1_0.50,W24X62_0.000_1_0.25,W24X62_0.000_1_0.15,W24X62_0.000_1_0.05
2000,0.9895833333333334,0.9270833333333334,0.7916666666666666,0.10416666666666667,0.0,0.0,0.0
1900,0.9895833333333334,0.9270833333333334,0.6979166666666666,0.08333333333333333,0.0,0.0,0.0
1800,0.9895833333333334,0.90625,0.625,0.052083333333333336,0.0,0.0,0.0
1700,0.9895833333333334,0.8958333333333334,0.5416666666666666,0.020833333333333332,0.0,0.0,0.0
1600,0.9895833333333334,0.8645833333333334,0.4791666666666667,0.010416666666666666,0.0,0.0,0.0
1500,0.9895833333333334,0.8541666666666666,0.3645833333333333,0.0,0.0,0.0,0.0
1400,0.9895833333333334,0.8020833333333334,0.28125,0.0,0.0,0.0,0.0
1300,0.9895833333333334,0.7604166666666666,0.2604166666666667,0.0,0.0,0.0,0.0
1200,0.9895833333333334,0.6354166666666666,0.1875,0.0,0.0,0.0,0.0
1100,0.9895833333333334,0.5520833333333334,0.125,0.0,0.0,0.0,0.0
1000,0.9791666666666666,0.4479166666666667,0.07291666666666667,0.0,0.0,0.0,0.0
900,0.9791666666666666,0.3333333333333333,0.020833333333333332,0.0,0.0,0.0,0.0
800,0.9791666666666666,0.2604166666666667,0.020833333333333332,0.0,0.0,0.0,0.0
700,0.96875,0.19791666666666666,0.0,0.0,0.0,0.0,0.0
600,0.9479166666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
500,0.8958333333333334,0.041666666666666664,0.0,0.0,0.0,0.0,0.0
400,0.8229166666666666,0.03125,0.0,0.0,0.0,0.0,0.0
300,0.71875,0.03125,0.0,0.0,0.0,0.0,0.0
200,0.6145833333333334,0.03125,0.0,0.0,0.0,0.0,0.0
100,0.6145833333333334,0.03125,0.0,0.0,0.0,0.0,0.0
