fire_load,W14X455_0.000_1_0.95,W14X455_0.000_1_0.85,W14X455_0.000_1_0.75,W14X455_0.000_1_0.50,W14X455_0.000_1_0.25,W14X455_0.000_1_0.15,W14X455_0.000_1_0.05
2000,0.6354166666666666,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
1900,0.5729166666666666,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.5208333333333334,0.0,0.0,0.0,0.0,0.0,0.0
1700,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1600,0.3645833333333333,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.2708333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.19791666666666666,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.07291666666666667,0.0,0.0,0.0,0.0,0.0,0.0
900,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
800,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
