fire_load,W30X211_0.000_1_0.95,W30X211_0.000_1_0.85,W30X211_0.000_1_0.75,W30X211_0.000_1_0.50,W30X211_0.000_1_0.25,W30X211_0.000_1_0.15,W30X211_0.000_1_0.05
2000,0.9791666666666666,0.5104166666666666,0.125,0.0,0.0,0.0,0.0
1900,0.9791666666666666,0.4583333333333333,0.10416666666666667,0.0,0.0,0.0,0.0
1800,0.9791666666666666,0.3645833333333333,0.08333333333333333,0.0,0.0,0.0,0.0
1700,0.96875,0.3229166666666667,0.052083333333333336,0.0,0.0,0.0,0.0
1600,0.9583333333333334,0.2708333333333333,0.020833333333333332,0.0,0.0,0.0,0.0
1500,0.9583333333333334,0.25,0.010416666666666666,0.0,0.0,0.0,0.0
1400,0.9375,0.15625,0.0,0.0,0.0,0.0,0.0
1300,0.90625,0.125,0.0,0.0,0.0,0.0,0.0
1200,0.8854166666666666,0.09375,0.0,0.0,0.0,0.0,0.0
1100,0.8645833333333334,0.03125,0.0,0.0,0.0,0.0,0.0
1000,0.8333333333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
900,0.7395833333333334,0.010416666666666666,0.0,0.0,0.0,0.0,0.0
800,0.6770833333333334,0.0,0.0,0.0,0.0,0.0,0.0
700,0.5729166666666666,0.0,0.0,0.0,0.0,0.0,0.0
600,0.4479166666666667,0.0,0.0,0.0,0.0,0.0,0.0
500,0.34375,0.0,0.0,0.0,0.0,0.0,0.0
400,0.22916666666666666,0.0,0.0,0.0,0.0,0.0,0.0
300,0.17708333333333334,0.0,0.0,0.0,0.0,0.0,0.0
200,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
100,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
